id,comment_pt,annotator1_moralA,annotator1_moralA_rationales,annotator1_moralB,annotator1_moralB_rationales,annotator1_moralC,annotator1_moralC_rationales,annotator2_moralA,annotator2_moralA_rationales,annotator2_moralB,annotator2_moralB_rationales,annotator2_moralC,annotator2_moralC_rationales,hate_label,annotator1_hate_rationales,annotator2_hate_rationales,summary_post,themes_post,politician_gender,politician_party,link_post,comment
4103,"Ai esta, a licao desta menina, mostrando aos capitalistas o que ESTAO fazendo com as pessoas, com o Planeta, EMOCIONANTE PALAVRAS.",0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,"There you have it, the lesson from this girl, showing the capitalists what they are doing to people, to the planet, moving words."
4104,"Sou só eu ou mais alguém ficou preocupada com o jeito da Greta nesse vídeo?! Gente, sério, ela não parece bem. Acho que já está na hora das pessoas darem um pouco de paz pra ela. Pra uma garota de 16 anos, acho q ela já fez muito e me preocupa vê-la assim.",0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,"Is it just me, or did anyone else get worried about Greta's demeanor in this video?! Seriously, she doesn't look well. I think it's time for people to give her some peace. For a 16-year-old girl, I think she's already done a lot, and it worries me to see her like this."
4105,"Pequena guerreira, coragem de uma gigante. 😢❤️",0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,"Little warrior, courage of a giant. 😢❤️"
4106,@steff.guimaraes a heroína que o mundo precisa,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,@steff.guimaraes the heroine the world needs
4107,Meu Deus. Ela tem apenas 16 anos com toda essa lucidez e sensibilidade? Tem gente governando por ai que não consegue falar uma frase que faça algum sentido... tanto a aprender com as crianças e os jovens! Maravilhosa!,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,My God. She's only 16 years old and has all this lucidity and sensitivity? There are people governing out there who can't even string together a sentence that makes sense... so much to learn from children and young people! Amazing!
4108,Fantástica essa menina,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,That girl is fantastic!
4109,"maravilhosaaa, icone ecossocialista!! não se deve manter um sistema de crescimento infinito quando se tem recursos finitos e quase extintos.",0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,"Amazing, an eco-socialist icon!! One shouldn't maintain a system of infinite growth when resources are finite and nearly extinct."
4110,Seria um presidente de verdade,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,He would be a real president.
4111,Bom ver gente do bem reunida e reagindo 👏👏👊,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,Good to see good people gathered together and reacting 👏👏👊
4112,@fernandohaddadoficial vcs precisam fazer um ato em defesa da Amazônia que continua pegando fogo. Algo precisa ser feito. A situação é desesperadora! 😔,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,"@fernandohaddadoficial you need to organize a protest in defense of the Amazon, which continues to burn. Something needs to be done. The situation is desperate! 😔"
4113,Isso é orgulho,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,That's pride.
4114,A LUTA CONTINUA 🕊🕊L.L.,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,THE STRUGGLE CONTINUES 🕊🕊L.L.
4115,União urgente. Não temos mais tempo...todo reino dividido perde a guerra.,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,Urgent unity. We have no more time...every kingdom divided loses the war.
4116,Teria o maior prazer e apertar sua mão,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,I would be delighted to shake your hand.
4117,Não esqueça de hidratar as crianças @antoniocesar_ @soraiabcavalcante @bolgue @gutastresser @joyluix @carlorfreire,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,Don't forget to keep the children hydrated @antoniocesar_ @soraiabcavalcante @bolgue @gutastresser @joyluix @carlorfreire
4118,Precisamos de união e articulação da esquerda brasileira nesse momento triste do país. Por favor @fernandohaddadoficial promova a união e façam a força!,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,"We need unity and coordination from the Brazilian left during this sad time for the country. Please, @fernandohaddadoficial, promote unity and let's work together!"
4119,Gente do bem ❤️😍,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,Good people ❤️😍
4120,Só homens de bem! Todo o meu respeito por esses cidadãos.,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,Only good men! All my respect for these citizens.
4121,Tal do Ricardo Coutinho é o que mais se aproxima do que é um Lula moderno. Mago trabalhador,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,Ricardo Coutinho is the closest thing to a modern-day Lula. A hard-working wizard.
4122,"Poderíamos te ter como nosso presidente. Se dependesse de mim, estaria lá. Infelizmente o povo fez essa lamentável escolha.",0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,"We could have had you as our president. If it were up to me, I would be there. Unfortunately, the people made this regrettable choice."
4123,Turma do bem !,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,Good people!
4124,"Feliz em ver todos vocês juntos! Em 2022, nada de vaidades pessoais. Vamos escolher a melhor chapa para retomar nosso país, certo?",0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,"Happy to see you all together! In 2022, no personal vanities. Let's choose the best ticket to take back our country, okay?"
4125,Eitaaaaa! Isso sim é notícia boa! Gente boa!!!!,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,Wow! Now that's good news! Good people!!!!
4126,Vamos continuar lutando,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,We will continue fighting.
4127,Como eu queria ter vc na presidência meu professor,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,"How I wish you were president, my professor."
4128,"Pelamor, se juntem pra fazer algo pela ciência e educação nesse país",0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,"For goodness sake, get together and do something for science and education in this country."
4129,Eu defendo a soberania nacional...estou com vc Haddad 👏🏾👏🏾👏🏾,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,I defend national sovereignty...I'm with you Haddad 👏🏾👏🏾👏🏾
4130,Meus dois crushs Haddad e Freixo 💕,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,My two crushes: Haddad and Freixo 💕
4131,Aquele zoom maroto no Haddad lindão! Meu presidente maravilhoso!,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,That cheeky zoom on handsome Haddad! My wonderful president!
4132,Haddad presidente. Lindo inteligente educado e perfeito.,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,"Haddad for president. Handsome, intelligent, educated, and perfect."
4133,Só os cultos e elegantes 👏👏👏,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,Only the cultured and elegant 👏👏👏
4134,"Meu presidente, é lindão!❤️🔥😍👏",0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,My president is gorgeous! ❤️🔥😍👏
4135,Você é um Diva meu Fer parabéns por todo,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,"You're a diva, my Fer, congratulations on everything!"
4136,"Haddad vc perdeu a eleição, mas eu não perdi meu voto.",0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,"Haddad, you lost the election, but I didn't lose my vote."
4137,Kd as mina nessa foto?,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,Where are the girls in this photo?
4138,@igorbxavier o Nando cortou o cabelo,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,@igorbxavier Nando got a haircut
4139,Os paraibanos tem muito orgulho de você Ricardo Coutinho,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,"The people of Paraíba are very proud of you, Ricardo Coutinho."
4140,"Toda foto sua com freixo aquece meu coração. Quero ver o senhor aqui no Rio, ano que vem!!",0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,Every photo of you with the ash tree warms my heart. I want to see you here in Rio next year!!
4141,Ricardo Coutinho você é o cara minha expiração 🙌🙌🙌,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,"Ricardo Coutinho, you're my inspiration! 🙌🙌🙌"
4142,Boa meu professor @fernandohaddadoficial,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,"Good job, my teacher @fernandohaddadoficial"
4143,Esquerda UNIDA!!!!!,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,United Left!!!!!
4144,"Oi, Haddad, quer ser meu amigo? Diz que sim!",0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,"Hey Haddad, want to be my friend? Say yes!"
4145,Haddad o melhor,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,Haddad is the best.
4146,Não me arrependo nunca se ter votado em vc.,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,I have never regretted voting for you.
4147,Muito amor em uma foto,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,So much love in one photo.
4148,Apoio o ato e a visão mas cadê as mulheres?,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,"I support the act and the vision, but where are the women?"
4149,Vocês me representam. ❤️,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,You represent me. ❤️
4150,"Salve, Ricardo Coutinho! O melhor governador da história da Paraíba!!!",0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,"Hail, Ricardo Coutinho! The best governor in the history of Paraíba!!!"
4151,Interessante começar um diálogo com os militares nacionalistas!,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,It would be interesting to start a dialogue with nationalist military officers!
4152,"Seja patriota, se alie ao JB para ele nao se reeleger em 22",0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,"Be a patriot, ally yourself with JB so he doesn't get re-elected in 2022."
4153,Ato em defesa da soberania nacional e popular. Em Brasília Lula Marques Lula 👏👏👏👏👏,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,"A rally in defense of national and popular sovereignty. In Brasília, Lula Marques Lula 👏👏👏👏👏"
4154,Professor vc sabe se apresenta diante os governantes mundiais Haddad presidente 2022 Lula livre já,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,"Professor, do you know if you should present yourself before world leaders? Haddad for president in 2022. Lula free now!"
4155,O que é isso? É a luxuria em forma de homem?,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,What is this? Is it lust in human form?
4156,Se tornou bem mais que um amigo RHUAN,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,"He became much more than a friend, RHUAN"
4157,Torcendo por vcs e esperança em um Brasil nos trilhos novamente 🙏🏻,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,Rooting for you and hoping for a Brazil back on track 🙏🏻
4158,"#Haddadsim 👏👏👏👏💋😘😍❤️🙏 Inteligentíssimo, polido, educado, professor, poliglota, lindo...inenarrável! ❤️@fernandohaddadoficial",0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,"#Haddadsim 👏👏👏👏💋😘😍❤️🙏 Extremely intelligent, polished, educated, professor, polyglot, handsome...indescribable! ❤️@fernandohaddadoficial"
4159,"Lute por nós, pelo nosso país Haddad ❤️🙌👏",0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,"Fight for us, for our country, Haddad ❤️🙌👏"
4160,"@realrcoutinho, a PB se orgulha muito. Gratidão por toda luta.",0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,"@realrcoutinho, PB is very proud. Thank you for all your hard work."
4161,Menina democracia até volta a ter esperanças...,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,Young democracy is finally regaining hope...
4162,É nós se Deus quiser👏👏👏,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,"It's us, God willing! 👏👏👏"
4163,Força Haddad. Você é o Lula melhorado. A gente te ama. Apavora,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,"Go Haddad! You're Lula, but better. We love you. You're awesome!"
4164,@fernandohaddadoficial Professor com o cabelo mais curto...💋,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,@fernandohaddadoficial Professor with shorter hair...💋
4165,Professor por favor ajude a não ter privatizações!!,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,"Professor, please help prevent privatizations!!"
4166,Quero Haddad presidente,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,I want Haddad as president.
4167,Olha nosso @realrcoutinho da nossos Paraíba 👏🏽👏🏽👏🏽👏🏽,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,Look at our @realrcoutinho from Paraíba 👏🏽👏🏽👏🏽👏🏽
4168,Haddad e Ricardo Coutinho!! Melhor governador da Paraíba,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,Haddad and Ricardo Coutinho!! Best governor of Paraíba
4169,O lindo com os lindos,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,The beautiful with the beautiful
4170,Haddad será nosso Presidente 2022👏👏👏👏👏👏👏,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,Haddad will be our President in 2022! 👏👏👏👏👏👏👏
4171,Queria o Freixo e o Haddad candidatos a presidência.,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,I wanted Freixo and Haddad to be presidential candidates.
4172,Turma que orgulha ! Meu sempre governador @realrcoutinho !,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,A group that makes me proud! My forever governor @realrcoutinho!
4173,Simbora. Vamos dar a liberdade ao nosso querido presidente Luiz Inácio,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,Let's go. Let's give freedom to our beloved president Luiz Inácio.
4174,👏👏👏👏👏 pra vocês que me representam 😚😚😚😚😚😚,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,👏👏👏👏👏 to you all who represent me 😚😚😚😚😚😚
4175,Esses de fato nos representam! 👏👏👏👏👏👏,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,These people truly represent us! 👏👏👏👏👏👏
4176,👏👏👏👏👏👏🇧🇷 o Brasil precisa de NÓS ❤️,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,👏👏👏👏👏👏🇧🇷 Brazil needs US ❤️
4177,Que foto forte 🇧🇷❤️ #Forças #Resistência,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,What a powerful photo 🇧🇷❤️ #Strength #Resistance
4178,✊ Estamos juntos,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,✊ We're in this together
4179,O REGISTRO DE QUEM VAI FAZER A REVOLUÇÃO ACONTECER ✊🏻❤️!,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,The record of those who will make the revolution happen ✊🏻❤️!
4180,A cara de um PRESIDENTE DE VERDADE!😍❤️🙌,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,The face of a REAL PRESIDENT! 😍❤️🙌
4181,Uma pessoa tão Boa.. Haddad e vc😗💙😘😘,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,Such a good person... Haddad and you 😗💙😘😘
4182,@alexandrepereira8396 Viu sua foto no meio deles?,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,@alexandrepereira8396 Did you see your photo among them?
4183,Lula Livre sim ja ok,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,"Lula is free, yes, okay."
4184,Professor 2022 é vc se Deus quizer 🙏❤️,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,"Professor 2022 is you, God willing 🙏❤️"
4185,Haddad quero vê a faixa presidencial no seu peito,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,"Haddad, I want to see the presidential sash on your chest."
4186,Vamos falar da uma delação do Palocci?,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,Shall we talk about Palocci's testimony?
4187,Lula livre ja,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,Lula free now
4188,@patriciamnds como lidar com esse encontro de crushes???,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,@patriciamnds how do I deal with this crush encounter???
4189,"Lindos ,guerreiros .❤️👏👏👏",0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,"Beautiful, warriors. ❤️👏👏👏"
4190,Seria lindo todo mundo unido em 2022,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,It would be wonderful if everyone were united in 2022.
4191,@fernandohaddadoficial e @marcelofreixo em uma única foto. Meu ♥️ não aguenta!,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,@fernandohaddadoficial and @marcelofreixo in a single photo. My heart can't take it!
4192,"Esses sim, lutam pelos mais necessitados! 👏👏👏👏👏👏👏👏👏👏👏👏",0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,These are the ones who truly fight for those most in need! 👏👏👏👏👏👏👏👏👏👏👏👏
4193,Esperamos por vocês 2022,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,We're waiting for you in 2022.
4194,Haddad o nosso presente em 2022,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,"Haddad, our present in 2022"
4195,Estamos juntos eleicoes 2022 Presidente Fernando Haddad,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,We are together in the 2022 elections for President Fernando Haddad.
4196,Todos nós brasileiros 🙏 do bem comum... Dia 7 de setembro todos povo nas ruas...#LulaLivre🇧🇷🇧🇷🇧🇷🇧🇷 💑💑💑... Todos nós de preto meu Brasil que já foi Varonil...#LulaLivre🇧🇷🇧🇷🇧🇷🇧🇷 🇧🇷,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,"All of us Brazilians 🙏 for the common good... September 7th, all people in the streets... #FreeLula🇧🇷🇧🇷🇧🇷🇧🇷 💑💑💑... All of us in black, my Brazil that was once manly... #FreeLula🇧🇷🇧🇷🇧🇷🇧🇷 🇧🇷"
4197,Parabéns pelo Luta guerreiros💪💪💪🌟🌟🌟😇😇😇🌹🌹🌹,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,Congratulations to the warriors for fighting! 💪💪💪🌟🌟🌟😇😇😇🌹🌹🌹
4198,Orgulho de fazer parte deste Clã ♥,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,Proud to be part of this Clan ♥
4199,Fernando Haddad me representa,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,Fernando Haddad represents me.
4200,Homens que me representam!,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,Men who represent me!
4201,🖖☀️Muita luz para todos!,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,🖖☀️Much light to all!
4202,Que foto da porra meu amigo,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,"What a fucking great photo, my friend!"
4203,Lula livre para o bem da nação,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,Lula free for the good of the nation.
4204,Onde estão as mulheres???,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,Where are the women???
4205,"Gente bonita, elegante e sincera👏",0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,"Beautiful, elegant, and sincere people 👏"
4206,Meu presidente preferido 💕💕💕,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,https://www.instagram.com/p/B1_m4F5lO_d/,My favorite president 💕💕💕
